"store","websites","attribute_set","type","categories","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","config_attributes","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","size","attr","status","visibility","enable_googlecheckout","tax_class_id","is_recurring","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","related","upsell","crosssell","tier_prices","associated","bundle_options","grouped","group_price_price","downloadable_options","super_attribute_pricing","product_tags","manufacturer"
"admin","base","RetailPro Configurable","simple","","2532","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","28","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2533","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","30","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","2","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2534","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","32","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","2","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2535","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","34","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","2","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2536","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","36","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2537","0","SKINNY GUY BROKEN TWILL","011051","","","","","","","","","","","","","","","","","","","144.95","","1.00","","38","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","configurable","","PAKOIAAILKHHGCNG","1","SKINNY GUY BROKEN TWILL","011051","","","","","","","","size","","","Block after Info Column","","","","","","","","144.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011051","0","configurable","","","","","","","2532,2533,2534,2535,2536,2537","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0","",""
"admin","base","RetailPro Configurable","simple","","2510","0","WEIRD GUY INDIGO SELVEDGE","011083","","","","","","","","","","","","","","","","","","","179.95","","1.00","","28","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011083","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2511","0","WEIRD GUY INDIGO SELVEDGE","011083","","","","","","","","","","","","","","","","","","","179.95","","1.00","","30","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011083","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2512","0","WEIRD GUY INDIGO SELVEDGE","011083","","","","","","","","","","","","","","","","","","","179.95","","1.00","","32","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011083","0","simple","","","","","","","","","","","","","",""
